"city","country","pop2023","latitude","longitude"
"Nandyal","India",165337,15.478,78.4836
"Gandhidham","India",166388,23.0833,70.1333
"Fatehpur","India",166480,25.9277,80.8127
"Jaunpur","India",169572,25.7536,82.6869
"Ingraj Bazar","India",170039,25.0045,88.1457
"Raiganj","India",170252,25.6128,88.1245
"Khammam","India",170503,17.2477,80.1437
"Haldia","India",170695,22.0605,88.1097
"Puri","India",170841,19.7983,85.8249
"Gadag-Betageri","India",172813,15.4167,75.6167
"Ongole","India",172872,15.5036,80.0445
"Shimla","India",173503,31.1044,77.1666
"Bhind","India",174035,26.5667,78.7873
"Pathankot","India",174306,32.2748,75.6529
"Tambaram","India",174787,12.9246,80.1271
"Amroha","India",176253,28.9031,78.4698
"Alleppey","India",176783,9.49004,76.3264
"Hugli","India",177005,22.9088,88.3967
"Vellore","India",177081,12.9184,79.1326
"Proddatur","India",177797,14.7502,78.5481
"Vizianagaram","India",179358,18.1169,83.4115
"Surendranagar","India",179628,22.7271,71.6486
"Baharampur","India",180547,24.1047,88.2515
"Chandannagar","India",180623,22.8622,88.368
"Sirsa","India",181639,29.5349,75.029
"Bahraigh","India",182218,27.5743,81.5947
"Khandwa","India",182841,21.8243,76.3509
"Bhusaval","India",183001,21.0436,75.7851
"Ellore","India",183387,16.7131,81.1044
"Sujangarh","India",183808,27.7,74.4667
"Junagadh","India",184447,21.5197,70.4598
"Singrauli","India",185580,24.1997,82.6753
"Haridwar","India",186079,29.9479,78.1602
"Raebareli","India",186433,26.2309,81.2331
"Kultali","India",187942,21.9,88.4
"Bhiwani","India",190855,28.793,76.1397
"Katihar","India",192555,25.5385,87.5704
"Machilipatnam","India",192827,16.1875,81.1389
"Nangloi Jat","India",194363,28.6796,77.068
"Murwara","India",195856,23.8378,80.3941
"Gandhinagar","India",195985,23.2167,72.6833
"Sambhal","India",196109,28.585,78.5696
"Gurgaon","India",197340,28.4601,77.0264
"Hospet","India",197846,15.2695,76.3871
"Purnia","India",198453,25.7789,87.4742
"Bulandshahr","India",198612,28.4039,77.8577
"Sikar","India",199932,27.6121,75.14
"Panchkula","India",200000,30.6946,76.8504
"Dindigul","India",200797,10.369,77.9804
"Chapra","India",201597,25.7803,84.7471
"Nadiad","India",202067,22.6938,72.8616
"Burhanpur","India",202695,21.3087,76.2303
"Monghyr","India",203163,25.3746,86.4745
"Agartala","India",203264,23.8361,91.2794
"Bidar","India",204071,17.9133,77.5301
"Secunderabad","India",204182,17.5043,78.5426
"Rewa","India",208461,24.5326,81.2923
"Yamunanagar","India",208931,30.128,77.2837
"Pali","India",210103,25.7728,73.3233
"Nagercoil","India",213858,8.17899,77.4323
